id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
FEDERALBNK_20260629_084528,2026-06-29T08:45:28.198644+05:30,FEDERALBNK,LONG,324.05,307.85,349.97,375.9,61,988.35,OPEN,,,,,,core,
SOUTHBANK_20260629_084528,2026-06-29T08:45:28.198644+05:30,SOUTHBANK,LONG,45.41,43.14,49.04,52.68,440,999.02,OPEN,,,,,,core,
ASTRAL_20260629_091422,2026-06-29T09:14:22.310714+05:30,ASTRAL,SHORT,1417.0,1487.85,1303.64,1190.28,14,991.9,OPEN,,,,,,intraday,
PERSISTENT_20260629_091422,2026-06-29T09:14:22.310714+05:30,PERSISTENT,SHORT,4500.0,4725.0,4140.0,3780.0,4,900.0,OPEN,,,,,,intraday,
GUJGASLTD_20260629_091422,2026-06-29T09:14:22.310714+05:30,GUJGASLTD,SHORT,343.8,360.99,316.3,288.79,58,997.02,OPEN,,,,,,intraday,
SUPREMEIND_20260629_091422,2026-06-29T09:14:22.310714+05:30,SUPREMEIND,SHORT,3397.7,3567.58,3125.88,2854.07,5,849.42,OPEN,,,,,,intraday,
WIPRO_20260629_091422,2026-06-29T09:14:22.310714+05:30,WIPRO,SHORT,176.28,185.09,162.18,148.08,113,995.98,OPEN,,,,,,intraday,
PIDILITIND_20260629_091422,2026-06-29T09:14:22.310714+05:30,PIDILITIND,LONG,1597.7,1517.81,1725.52,1853.33,12,958.62,OPEN,,,,,,intraday,
AUROPHARMA_20260629_091659,2026-06-29T09:16:59.906820+05:30,AUROPHARMA,LONG,1569.9,1491.41,1695.49,1821.08,12,941.94,OPEN,,,,,,intraday,
DRREDDY_20260629_091956,2026-06-29T09:19:56.104831+05:30,DRREDDY,LONG,1404.1,1333.89,1516.43,1628.76,14,982.87,CLOSED,2026-07-01T00:00:00+05:30,1333.89,-982.94,-1.0,stop,intraday,
SHRIRAMFIN_20260629_091956,2026-06-29T09:19:56.104831+05:30,SHRIRAMFIN,LONG,1049.5,997.02,1133.46,1217.42,19,997.03,OPEN,,,,,,intraday,
LAURUSLABS_20260629_091956,2026-06-29T09:19:56.104831+05:30,LAURUSLABS,LONG,1460.4,1387.38,1577.23,1694.06,13,949.26,OPEN,,,,,,intraday,
