id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
TITAN_20260707_132051,2026-07-07T13:20:51.000160+05:30,TITAN,LONG,4587.8,4397.22,4930.84,5254.82,5.0,952.89,OPEN,,,,,,core,76.3
HFCL_20260707_132051,2026-07-07T13:20:51.000160+05:30,HFCL,LONG,219.29,208.33,239.03,257.67,91.0,997.77,CLOSED,2026-07-14T00:00:00+05:30,208.33,-997.36,-1.0,stop,core,73.7
BAJFINANCE_20260707_132051,2026-07-07T13:20:51.000160+05:30,BAJFINANCE,LONG,1034.5,990.26,1114.13,1189.34,22.0,973.3,OPEN,,,,,,core,69.7
NYKAA_20260707_132051,2026-07-07T13:20:51.000160+05:30,NYKAA,LONG,314.3,298.86,342.09,368.33,64.0,988.02,OPEN,,,,,,core,64.3
NYKAA_20260708_120644,2026-07-08T12:06:44.271426+05:30,NYKAA,LONG,322.7,306.81,351.29,378.3,62.0,984.88,OPEN,,,,,,core,80.3
CHOLAFIN_20260708_120644,2026-07-08T12:06:44.271426+05:30,CHOLAFIN,LONG,1847.1,1759.54,2004.71,2153.56,11.0,963.16,CLOSED,2026-07-09T00:00:00+05:30,1759.54,-963.16,-1.0,stop,core,74.6
OFSS_20260708_120644,2026-07-08T12:06:44.271426+05:30,OFSS,LONG,11063.0,10509.85,12058.67,12999.02,1.0,553.15,OPEN,,,,,,core,70.7
SONACOMS_20260708_120644,2026-07-08T12:06:44.271426+05:30,SONACOMS,LONG,675.9,643.13,734.89,790.6,30.0,983.1,OPEN,,,,,,core,70.3
LUPIN_20260708_120644,2026-07-08T12:06:44.271426+05:30,LUPIN,LONG,2506.0,2416.71,2666.73,2818.53,11.0,982.23,OPEN,,,,,,core,62.8
BAJFINANCE_20260708_120644,2026-07-08T12:06:44.271426+05:30,BAJFINANCE,LONG,1030.4,984.26,1113.45,1191.89,21.0,968.92,OPEN,,,,,,core,62.5
HFCL_20260708_120644,2026-07-08T12:06:44.271426+05:30,HFCL,LONG,220.97,209.92,240.86,259.64,90.0,994.37,CLOSED,2026-07-09T00:00:00+05:30,209.92,-994.5,-1.0,stop,core,61.9
ETERNAL_20260708_120644,2026-07-08T12:06:44.271426+05:30,ETERNAL,LONG,294.75,280.01,321.28,346.33,67.0,987.41,CLOSED,2026-07-14T00:00:00+05:30,280.01,-987.58,-1.0,stop,core,61.0
NYKAA_20260709_131945,2026-07-09T13:19:45.792133+05:30,NYKAA,LONG,323.9,308.11,352.33,379.17,63.0,994.91,OPEN,,,,,,core,80.0
SUNPHARMA_20260709_131945,2026-07-09T13:19:45.792133+05:30,SUNPHARMA,LONG,1937.0,1874.88,2048.82,2154.43,16.0,993.96,OPEN,,,,,,core,79.7
OFSS_20260709_131945,2026-07-09T13:19:45.792133+05:30,OFSS,LONG,11200.0,10640.0,12208.0,13160.0,1.0,560.0,OPEN,,,,,,core,74.3
PAYTM_20260709_131945,2026-07-09T13:19:45.792133+05:30,PAYTM,LONG,1263.6,1200.42,1377.32,1484.73,15.0,947.7,OPEN,,,,,,core,72.8
EXIDEIND_20260709_131945,2026-07-09T13:19:45.792133+05:30,EXIDEIND,LONG,426.0,404.7,464.34,500.55,46.0,979.8,OPEN,,,,,,core,72.3
GODREJPROP_20260709_131945,2026-07-09T13:19:45.792133+05:30,GODREJPROP,LONG,2038.8,1936.86,2222.29,2395.59,9.0,917.46,OPEN,,,,,,core,72.0
CHOLAFIN_20260709_131945,2026-07-09T13:19:45.792133+05:30,CHOLAFIN,LONG,1791.7,1702.11,1952.95,2105.25,11.0,985.43,OPEN,,,,,,core,68.6
DELHIVERY_20260709_131945,2026-07-09T13:19:45.792133+05:30,DELHIVERY,LONG,514.7,488.97,561.02,604.77,38.0,977.93,CLOSED,2026-07-17T00:00:00+05:30,488.97,-977.74,-1.0,stop,core,67.8
OFSS_20260710_131814,2026-07-10T13:18:14.193346+05:30,OFSS,LONG,11511.0,10935.45,12546.99,13525.42,1.0,575.55,OPEN,,,,,,core,92.2
NYKAA_20260710_131814,2026-07-10T13:18:14.193346+05:30,NYKAA,LONG,326.7,310.37,356.1,383.87,61.0,996.44,OPEN,,,,,,core,79.0
DLF_20260710_131814,2026-07-10T13:18:14.193346+05:30,DLF,LONG,687.1,652.74,748.94,807.34,29.0,996.29,CLOSED,2026-07-16T00:00:00+05:30,652.74,-996.44,-1.0,stop,core,77.9
DIXON_20260710_131814,2026-07-10T13:18:14.193346+05:30,DIXON,LONG,13528.0,12851.6,14745.52,15895.4,1.0,676.4,OPEN,,,,,,core,73.1
DELHIVERY_20260710_131814,2026-07-10T13:18:14.193346+05:30,DELHIVERY,LONG,516.45,490.63,562.93,606.83,38.0,981.26,CLOSED,2026-07-16T00:00:00+05:30,490.63,-981.16,-1.0,stop,core,65.5
SONACOMS_20260710_131814,2026-07-10T13:18:14.193346+05:30,SONACOMS,LONG,665.3,632.03,725.18,781.73,30.0,997.95,OPEN,,,,,,core,63.6
KPITTECH_20260710_131814,2026-07-10T13:18:14.193346+05:30,KPITTECH,SHORT,560.8,588.84,510.33,462.66,35.0,981.4,OPEN,,,,,,core,59.9
MANAPPURAM_20260710_131814,2026-07-10T13:18:14.193346+05:30,MANAPPURAM,LONG,340.05,323.05,370.65,399.56,58.0,986.14,CLOSED,2026-07-14T00:00:00+05:30,323.05,-986.0,-1.0,stop,core,59.5
OFSS_20260713_130258,2026-07-13T13:02:58.893313+05:30,OFSS,LONG,11890.0,11295.5,12960.1,13970.75,1.0,594.5,OPEN,,,,,,core,90.4
KAJARIACER_20260713_130258,2026-07-13T13:02:58.893313+05:30,KAJARIACER,LONG,1248.0,1190.0,1352.4,1451.0,17.0,985.99,OPEN,,,,,,core,80.4
PAYTM_20260713_130258,2026-07-13T13:02:58.893313+05:30,PAYTM,LONG,1373.0,1304.35,1496.57,1613.28,14.0,961.1,OPEN,,,,,,core,75.6
LAURUSLABS_20260713_130258,2026-07-13T13:02:58.893313+05:30,LAURUSLABS,LONG,1555.6,1477.82,1695.6,1827.83,12.0,933.36,OPEN,,,,,,core,69.4
ZENSARTECH_20260713_130258,2026-07-13T13:02:58.893313+05:30,ZENSARTECH,LONG,539.75,512.76,588.33,634.21,37.0,998.54,CLOSED,2026-07-15T00:00:00+05:30,512.76,-998.63,-1.0,stop,core,59.9
SONACOMS_20260713_130258,2026-07-13T13:02:58.893313+05:30,SONACOMS,LONG,670.0,636.52,730.27,787.19,29.0,970.99,OPEN,,,,,,core,59.8
JBCHEPHARM_20260713_130258,2026-07-13T13:02:58.893313+05:30,JBCHEPHARM,LONG,2444.2,2344.47,2623.71,2793.24,10.0,997.26,OPEN,,,,,,core,58.5
VEDL_20260713_130258,2026-07-13T13:02:58.893313+05:30,VEDL,SHORT,269.15,282.61,244.93,222.05,74.0,995.85,OPEN,,,,,,core,57.8
KAJARIACER_20260714_115201,2026-07-14T11:52:01.671805+05:30,KAJARIACER,LONG,1235.1,1176.46,1340.66,1440.35,17.0,996.92,OPEN,,,,,,core,72.8
OFSS_20260714_115201,2026-07-14T11:52:01.671805+05:30,OFSS,LONG,11838.0,11246.1,12903.42,13909.65,1.0,591.9,OPEN,,,,,,core,70.1
LAURUSLABS_20260714_115201,2026-07-14T11:52:01.671805+05:30,LAURUSLABS,LONG,1567.9,1489.51,1709.01,1842.28,12.0,940.74,OPEN,,,,,,core,68.2
